,0,1
0,1.1741893545609257,-0.3746906708859784
1,1.0377816798276696,-0.22548871661957479
2,1.024212354038109,-0.20255295234034207
3,1.00000000083238,-0.1779707166470058
4,1.0000000008131416,-0.16150554548240348
5,1.0000000008104113,-0.15902045119398397
6,1.0000000007802754,-0.15588840474309706
7,1.0000000007627294,-0.13898207101861698
8,1.0000000007610002,-0.13628035614068906
9,1.0000000007359855,-0.12622174792151886
10,1.000000000732408,-0.1047762308628527
11,1.0000000007295262,-6.383042212024851e-06
12,1.0000000007314007,-6.75341948730268e-06
